Time series;Closing price;MA;Trend;Trading signal
297;230.29;234.61533333333335;no;0.5
298;225.93;233.6473333333334;no;0.0
299;229.59;232.94533333333342;down;0.023809523809524703
300;229.41;231.97000000000008;down;0.0
301;233.19;231.65200000000007;no;0.0
302;235.13;231.42733333333342;no;0.5
303;233.89;231.0240000000001;no;0.13963328631875802
304;231.91;230.7773333333334;no;0.0
305;239.0;231.36600000000004;no;0.5
306;236.71;231.84600000000003;no;0.03448275862069078
307;236.65;232.33600000000004;no;0.0
308;237.52;232.98066666666668;up;0.5
309;237.69;233.33066666666667;up;0.5
310;238.77;233.72733333333332;up;0.586854460093898
311;238.4;234.272;up;0.5
312;240.53;234.95466666666667;up;0.5
313;246.93;236.35466666666667;up;1.0
314;243.47;237.28000000000003;up;0.5277777777777785
315;243.41;238.2133333333333;up;0.5
316;244.49;238.96666666666667;up;0.5
317;245.72;239.6726666666667;up;0.5510638297872354
318;247.83;240.602;up;0.8660436137071678
319;245.48;241.5066666666667;up;0.5
320;248.69;242.15266666666668;up;0.5
321;252.46;243.2026666666667;up;0.5
322;254.44;244.38866666666667;up;0.5
323;262.5;246.05400000000003;up;0.5938673341677095
324;268.99;248.14066666666668;up;1.0
325;261.0;249.62266666666667;up;0.5
326;264.43;251.358;up;0.5
327;270.23;253.338;up;0.6620000000000005
328;267.8;254.72933333333333;up;0.5
329;275.3;256.85133333333334;up;0.5
330;277.71;259.138;up;0.5
331;282.59;261.678;up;0.5
332;288.27;264.5146666666667;up;0.6310160427807477
333;285.82;267.04733333333337;up;0.5
334;295.17;270.36000000000007;up;0.5
335;304.05;274.0506666666668;up;0.5
336;313.73;278.13533333333345;up;0.5980235042735048
337;328.78;283.0913333333335;up;0.9947145877378424
338;310.06;286.2620000000001;up;0.5
339;328.98;290.26133333333354;up;0.5
340;361.98;296.99333333333345;up;0.5
341;398.21;305.9120000000001;up;0.8555502846299802
342;404.3;314.85000000000014;up;1.0
343;383.22;322.5446666666668;up;0.9090909090909103
344;371.79;328.97733333333343;up;0.5
345;385.76;336.1806666666668;up;1.0
346;371.87;342.13266666666675;up;0.9050722920123253
347;379.88;348.2400000000002;up;1.0
348;337.69;351.69800000000015;no;0.5
349;303.0;352.22000000000014;no;0.0
350;334.94;354.27933333333345;no;0.5
351;333.51;355.59800000000007;no;0.5
352;331.61;355.7866666666667;no;0.5
353;317.0;356.24933333333337;no;0.0
354;330.9;356.3773333333333;no;0.0
355;335.44;354.60799999999995;no;0.43311312964492144
356;337.06;350.5313333333333;no;0.5
357;324.95;345.2413333333333;no;0.4942693409742091
358;321.5;341.12666666666667;down;0.0
359;324.99;338.0066666666665;down;0.5
360;323.11;333.82999999999987;down;0.5
361;323.01;330.57266666666663;down;0.2322874493927114
362;318.42;326.4753333333332;down;0.0
363;328.3;325.84933333333333;no;0.0
364;356.39;329.40866666666665;no;0.0
365;359.87;331.0706666666666;no;0.11877133105802082
366;356.39;332.59599999999995;no;0.0
367;371.04;335.2246666666667;up;0.7691284098469733
368;377.98;339.29;up;1.0
369;362.95;341.4266666666667;up;1.0
370;359.97;343.06200000000007;up;0.5
371;361.32;344.6793333333334;up;0.5
372;362.3;347.1693333333334;up;0.5
373;384.67;351.38066666666674;up;0.5
374;394.6;356.02133333333336;up;0.5
375;395.1;360.8206666666668;up;0.5
376;409.0;366.5533333333335;up;0.5
377;416.08;373.06400000000014;up;0.5
378;416.28;378.92933333333343;up;0.5
379;451.68;385.28200000000015;up;1.0
380;435.87;390.3486666666668;up;0.505327245053272
381;435.8;395.64266666666674;up;0.5
382;442.37;400.39800000000014;up;0.5
383;463.61;406.10666666666674;up;1.0
384;455.1;412.25000000000006;up;0.5
385;456.01;418.65266666666673;up;0.5
386;463.0;425.4313333333334;up;1.0
387;460.96;432.0086666666667;up;1.0
388;441.48;435.79600000000005;up;1.0
389;437.56;438.66;no;0.09805285118219927
390;436.15;441.39666666666665;no;0.0
391;443.34;443.686;no;0.0
392;455.71;446.328;no;0.5
393;455.5;448.9426666666667;no;0.5
394;417.42;446.65866666666665;no;0.0
395;423.29;445.82;no;0.13865096359743165
396;420.7;444.8133333333333;no;0.0
397;430.04;443.9913333333333;no;0.42471590909091256
398;427.05;441.554;down;0.0
399;430.57;439.9186666666666;down;0.0
400;434.98;438.51666666666665;down;0.5
401;433.74;436.566;down;0.4631410256410228
402;430.85;434.55866666666674;down;0.0
403;433.97;434.05800000000005;down;0.5
404;431.89;433.68000000000006;down;0.0009633911368017588
405;431.84;433.39266666666674;down;0.0
406;457.79;434.35600000000005;no;0.5
407;451.32;434.06333333333333;no;0.5
408;449.95;433.6933333333334;no;0.5
409;447.21;435.6793333333334;no;0.17279411764705668
410;448.99;437.39266666666674;no;0.5
